Car ID,Brand,Model,Year,Color,Mileage,Price,Location,Units Available,Inventory Value,Mileage Category,Price Category
26,Toyota,Sienna,2020,Red,35000,27000,Dallas,5,135000,Medium,High
27,Honda,Fit,2017,Gray,55000,12000,Atlanta,1,12000,Medium,Low
28,Ford,Fusion,2018,White,50000,15000,Phoenix,3,45000,Medium,Medium
29,Chevrolet,Malibu,2019,Blue,40000,17000,Houston,2,34000,Medium,Medium
30,Hyundai,Venue,2016,Silver,60000,14000,Seattle,3,42000,High,Low
31,Toyota,Yaris,2017,Black,55000,12000,Los Angeles,2,24000,Medium,Low
32,Honda,HR-V,2018,White,50000,15000,New York,5,75000,Medium,Medium
33,Ford,EcoSport,2019,Red,40000,17000,Chicago,2,34000,Medium,Medium
34,Chevrolet,Spark,2020,Blue,35000,14000,Miami,4,56000,Medium,Low
35,Hyundai,Accent,2015,Silver,70000,12000,San Francisco,3,36000,High,Low
36,Toyota,Prius,2016,Gray,55000,15000,Dallas,3,45000,Medium,Medium
37,Honda,Civic,2017,White,50000,17000,Atlanta,1,17000,Medium,Medium
38,Ford,Fiesta,2018,Blue,40000,14000,Phoenix,3,42000,Medium,Low
39,Chevrolet,Cruze,2019,Black,45000,16000,Houston,2,32000,Medium,Medium
40,Hyundai,Elantra,2020,Red,35000,18000,Seattle,3,54000,Medium,Medium
41,Toyota,Camry,2017,Silver,60000,19000,Los Angeles,5,95000,High,Medium
42,Honda,Accord,2018,White,50000,18000,New York,2,36000,Medium,Medium
43,Ford,Mustang,2019,Blue,40000,22000,Chicago,1,22000,Medium,Medium
44,Chevrolet,Camaro,2020,Red,35000,25000,Miami,4,100000,Medium,High
45,Hyundai,Genesis,2015,Black,70000,18000,San Francisco,2,36000,High,Medium
46,Toyota,Avalon,2016,Silver,55000,19000,Dallas,2,38000,Medium,Medium
47,Honda,Civic,2017,Gray,50000,17000,Atlanta,5,85000,Medium,Medium
48,Ford,Fusion,2018,White,45000,16000,Phoenix,1,16000,Medium,Medium
49,Chevrolet,Impala,2019,Blue,40000,18000,Houston,2,36000,Medium,Medium
50,Hyundai,Sonata,2020,Red,35000,20000,Seattle,5,100000,Medium,Medium
51,Toyota,Corolla,2017,Silver,55000,19000,Los Angeles,3,57000,Medium,Medium
52,Honda,CR-V,2018,White,50000,23000,New York,4,92000,Medium,Medium
53,Ford,Escape,2019,Blue,40000,21000,Chicago,2,42000,Medium,Medium
54,Chevrolet,Equinox,2020,Black,35000,24000,Miami,2,48000,Medium,Medium
55,Hyundai,Tucson,2015,Red,70000,20000,San Francisco,3,60000,High,Medium
56,Toyota,Rav4,2016,Gray,55000,22000,Dallas,2,44000,Medium,Medium
57,Honda,Pilot,2017,White,50000,24000,Atlanta,1,24000,Medium,Medium
58,Ford,Explorer,2018,Blue,45000,23000,Phoenix,3,69000,Medium,Medium
59,Chevrolet,Traverse,2019,Black,40000,27000,Houston,3,81000,Medium,High
60,Hyundai,Santa Fe,2020,Red,35000,25000,Seattle,4,100000,Medium,High
61,Toyota,4Runner,2015,Silver,70000,28000,Los Angeles,1,28000,High,High
62,Honda,Odyssey,2016,White,55000,22000,New York,1,22000,Medium,Medium
63,Ford,Edge,2017,Blue,50000,21000,Chicago,2,42000,Medium,Medium
64,Chevrolet,Tahoe,2018,Black,45000,26000,Miami,4,104000,Medium,High
65,Hyundai,Palisade,2019,Silver,30000,29000,San Francisco,3,87000,Medium,High
66,Toyota,Sienna,2020,Red,35000,27000,Dallas,5,135000,Medium,High
67,Honda,Fit,2017,Gray,55000,12000,Atlanta,4,48000,Medium,Low
68,Ford,Fusion,2018,White,50000,15000,Phoenix,3,45000,Medium,Medium
69,Chevrolet,Malibu,2019,Blue,40000,17000,Houston,3,51000,Medium,Medium
70,Hyundai,Venue,2016,Silver,60000,14000,Seattle,4,56000,High,Low
71,Toyota,Yaris,2017,Black,55000,12000,Los Angeles,4,48000,Medium,Low
72,Toyota,Camry,2017,White,45000,18000,Los Angeles,1,18000,Medium,Medium
73,Honda,Civic,2015,Blue,35000,16000,New York,4,64000,Medium,Medium
74,Toyota,Camry,2018,White,55000,14000,Los Angeles,5,70000,Medium,Low
75,Honda,Civic,2016,Blue,60000,12000,New York,2,24000,High,Low
76,Ford,Focus,2019,Silver,40000,15000,Chicago,3,45000,Medium,Medium
77,Chevrolet,Cruze,2015,Red,25000,19000,Miami,3,57000,Low,Medium
78,Hyundai,Elantra,2020,Black,30000,18000,San Francisco,5,90000,Medium,Medium
79,Toyota,Corolla,2016,Gray,65000,22000,Dallas,1,22000,High,Medium
80,Honda,Accord,2015,White,55000,16000,Atlanta,2,32000,Medium,Medium
81,Ford,Mustang,2020,Yellow,50000,14000,Phoenix,4,56000,Medium,Low
82,Chevrolet,Impala,2015,Black,55000,19000,Houston,4,76000,Medium,Medium
83,Hyundai,Sonata,2020,Blue,30000,23000,Seattle,2,46000,Medium,Medium
84,Toyota,Rav5,2017,Gray,40000,21000,Los Angeles,4,84000,Medium,Medium
85,Honda,CR-V,2019,Red,45000,18000,New York,1,18000,Medium,Medium
86,Ford,Escape,2020,White,35000,20000,Chicago,1,20000,Medium,Medium
87,Chevrolet,Equinox,2019,Black,60000,25000,Miami,4,100000,High,High
88,Hyundai,Kona,2017,Blue,55000,24000,San Francisco,1,24000,Medium,Medium
89,Toyota,Highlander,2016,Silver,50000,23000,Dallas,1,23000,Medium,Medium
90,Honda,Pilot,2018,Gray,35000,28000,Atlanta,1,28000,Medium,High
91,Ford,Explorer,2018,White,40000,25000,Phoenix,1,25000,Medium,High
92,Chevrolet,Traverse,2016,Black,70000,27000,Houston,1,27000,High,High
93,Hyundai,Santa Fe,2020,Red,55000,22000,Seattle,5,110000,Medium,Medium
94,Toyota,4Runner,2017,Silver,50000,21000,Los Angeles,5,105000,Medium,Medium
95,Honda,Odyssey,2017,White,45000,26000,New York,2,52000,Medium,High
96,Ford,Edge,2019,Blue,30000,29000,Chicago,5,145000,Medium,High
97,Chevrolet,Tahoe,2018,Black,35000,27000,Miami,1,27000,Medium,High
98,Hyundai,Palisade,2018,Silver,55000,12000,San Francisco,2,24000,Medium,Low
99,Toyota,Sienna,2019,Red,50000,15000,Dallas,2,30000,Medium,Medium
100,Honda,Fit,2017,Gray,40000,17000,Atlanta,1,17000,Medium,Medium
101,Ford,Fusion,2015,White,60000,14000,Phoenix,5,70000,High,Low
102,Chevrolet,Malibu,2016,Blue,55000,12000,Houston,1,12000,Medium,Low
103,Hyundai,Venue,2018,Silver,50000,15000,Seattle,3,45000,Medium,Medium
104,Toyota,Yaris,2018,Black,40000,17000,Los Angeles,5,85000,Medium,Medium
105,Honda,HR-V,2016,White,35000,14000,New York,5,70000,Medium,Low
106,Ford,EcoSport,2017,Red,70000,12000,Chicago,1,12000,High,Low
107,Chevrolet,Spark,2017,Blue,55000,15000,Miami,2,30000,Medium,Medium
108,Hyundai,Accent,2019,Silver,50000,17000,San Francisco,3,51000,Medium,Medium
109,Toyota,Prius,2017,Gray,40000,14000,Dallas,1,14000,Medium,Low
110,Honda,Civic,2015,White,45000,16000,Atlanta,4,64000,Medium,Medium
111,Ford,Fiesta,2019,Blue,35000,18000,Phoenix,3,54000,Medium,Medium
112,Chevrolet,Cruze,2018,Black,60000,19000,Houston,3,57000,High,Medium
113,Hyundai,Elantra,2016,Red,50000,18000,Seattle,1,18000,Medium,Medium
114,Toyota,Camry,2019,Silver,40000,22000,Los Angeles,4,88000,Medium,Medium
115,Honda,Accord,2020,White,35000,25000,New York,3,75000,Medium,High
116,Ford,Mustang,2020,Blue,70000,18000,Chicago,2,36000,High,Medium
117,Chevrolet,Camaro,2019,Red,55000,19000,Miami,4,76000,Medium,Medium
118,Hyundai,Genesis,2017,Black,50000,17000,San Francisco,3,51000,Medium,Medium
119,Toyota,Avalon,2015,Silver,45000,16000,Dallas,3,48000,Medium,Medium
120,Honda,Civic,2015,Gray,40000,18000,Atlanta,2,36000,Medium,Medium
121,Ford,Fusion,2015,White,35000,20000,Phoenix,4,80000,Medium,Medium
122,Chevrolet,Impala,2020,Blue,55000,19000,Houston,5,95000,Medium,Medium
123,Hyundai,Sonata,2017,Red,50000,23000,Seattle,2,46000,Medium,Medium
124,Toyota,Corolla,2017,Silver,40000,21000,Los Angeles,1,21000,Medium,Medium
125,Honda,CR-V,2018,White,35000,24000,New York,4,96000,Medium,Medium
126,Ford,Escape,2019,Blue,70000,20000,Chicago,5,100000,High,Medium
127,Chevrolet,Equinox,2015,Black,55000,22000,Miami,1,22000,Medium,Medium
128,Hyundai,Tucson,2019,Red,50000,24000,San Francisco,5,120000,Medium,Medium
129,Toyota,Rav5,2015,Gray,45000,23000,Dallas,1,23000,Medium,Medium
130,Honda,Pilot,2016,White,40000,27000,Atlanta,1,27000,Medium,High
131,Ford,Explorer,2015,Blue,35000,25000,Phoenix,1,25000,Medium,High
132,Chevrolet,Traverse,2017,Black,70000,28000,Houston,2,56000,High,High
133,Hyundai,Santa Fe,2018,Red,55000,22000,Seattle,1,22000,Medium,Medium
134,Toyota,4Runner,2017,Silver,50000,21000,Los Angeles,2,42000,Medium,Medium
135,Honda,Odyssey,2016,White,45000,26000,New York,2,52000,Medium,High
136,Ford,Edge,2019,Blue,30000,29000,Chicago,3,87000,Medium,High
137,Chevrolet,Tahoe,2016,Black,35000,27000,Miami,4,108000,Medium,High
138,Hyundai,Palisade,2020,Silver,55000,12000,San Francisco,1,12000,Medium,Low
139,Toyota,Sienna,2020,Red,50000,15000,Dallas,3,45000,Medium,Medium
140,Honda,Fit,2018,Gray,40000,17000,Atlanta,4,68000,Medium,Medium
141,Ford,Fusion,2018,White,60000,14000,Phoenix,2,28000,High,Low
142,Chevrolet,Malibu,2019,Blue,55000,12000,Houston,5,60000,Medium,Low
143,Hyundai,Venue,2015,Silver,45000,18000,Seattle,3,54000,Medium,Medium
144,Toyota,Yaris,2018,Black,35000,16000,Los Angeles,1,16000,Medium,Medium
145,Toyota,Camry,2018,White,55000,14000,Los Angeles,3,42000,Medium,Low
146,Honda,Civic,2016,Blue,60000,12000,New York,2,24000,High,Low
147,Toyota,Camry,2016,White,40000,15000,Los Angeles,4,60000,Medium,Medium
148,Honda,Civic,2016,Blue,25000,19000,New York,2,38000,Low,Medium
149,Ford,Focus,2016,Silver,30000,18000,Chicago,2,36000,Medium,Medium
150,Chevrolet,Cruze,2018,Red,65000,22000,Miami,1,22000,High,Medium
151,Hyundai,Elantra,2017,Black,55000,16000,San Francisco,4,64000,Medium,Medium
152,Toyota,Corolla,2019,Gray,50000,14000,Dallas,1,14000,Medium,Low
153,Honda,Accord,2017,White,55000,19000,Atlanta,2,38000,Medium,Medium
154,Ford,Mustang,2017,Yellow,30000,23000,Phoenix,5,115000,Medium,Medium
155,Chevrolet,Impala,2015,Black,40000,21000,Houston,5,105000,Medium,Medium
156,Hyundai,Sonata,2017,Blue,45000,18000,Seattle,3,54000,Medium,Medium
157,Toyota,Rav6,2015,Gray,35000,20000,Los Angeles,2,40000,Medium,Medium
158,Honda,CR-V,2020,Red,60000,25000,New York,2,50000,High,High
159,Ford,Escape,2019,White,55000,24000,Chicago,4,96000,Medium,Medium
160,Chevrolet,Equinox,2015,Black,50000,23000,Miami,1,23000,Medium,Medium
161,Hyundai,Kona,2020,Blue,35000,28000,San Francisco,2,56000,Medium,High
162,Toyota,Highlander,2020,Silver,40000,25000,Dallas,4,100000,Medium,High
163,Honda,Pilot,2018,Gray,70000,27000,Atlanta,5,135000,High,High
164,Ford,Explorer,2015,White,55000,22000,Phoenix,2,44000,Medium,Medium
165,Chevrolet,Traverse,2017,Black,50000,21000,Houston,5,105000,Medium,Medium
166,Hyundai,Santa Fe,2019,Red,45000,26000,Seattle,1,26000,Medium,High
167,Toyota,4Runner,2019,Silver,30000,29000,Los Angeles,1,29000,Medium,High
168,Honda,Odyssey,2016,White,35000,27000,New York,5,135000,Medium,High
169,Ford,Edge,2019,Blue,55000,12000,Chicago,3,36000,Medium,Low
170,Chevrolet,Tahoe,2015,Black,50000,15000,Miami,2,30000,Medium,Medium
171,Hyundai,Palisade,2016,Silver,40000,17000,San Francisco,3,51000,Medium,Medium
172,Toyota,Sienna,2019,Red,60000,14000,Dallas,5,70000,High,Low
173,Honda,Fit,2020,Gray,55000,12000,Atlanta,2,24000,Medium,Low
174,Ford,Fusion,2019,White,50000,15000,Phoenix,2,30000,Medium,Medium
175,Chevrolet,Malibu,2016,Blue,40000,17000,Houston,4,68000,Medium,Medium
176,Hyundai,Venue,2015,Silver,35000,14000,Seattle,4,56000,Medium,Low
177,Toyota,Yaris,2018,Black,70000,12000,Los Angeles,3,36000,High,Low
178,Honda,HR-V,2017,White,55000,15000,New York,3,45000,Medium,Medium
179,Ford,EcoSport,2016,Red,50000,17000,Chicago,3,51000,Medium,Medium
180,Chevrolet,Spark,2016,Blue,40000,14000,Miami,1,14000,Medium,Low
181,Hyundai,Accent,2016,Silver,45000,16000,San Francisco,3,48000,Medium,Medium
182,Toyota,Prius,2019,Gray,35000,18000,Dallas,1,18000,Medium,Medium
183,Honda,Civic,2015,White,60000,19000,Atlanta,2,38000,High,Medium
184,Ford,Fiesta,2018,Blue,50000,18000,Phoenix,1,18000,Medium,Medium
185,Chevrolet,Cruze,2015,Black,40000,22000,Houston,5,110000,Medium,Medium
186,Hyundai,Elantra,2015,Red,35000,25000,Seattle,3,75000,Medium,High
187,Toyota,Camry,2020,Silver,70000,18000,Los Angeles,1,18000,High,Medium
188,Honda,Accord,2016,White,55000,19000,New York,2,38000,Medium,Medium
189,Ford,Mustang,2016,Blue,50000,17000,Chicago,4,68000,Medium,Medium
190,Chevrolet,Camaro,2020,Red,45000,16000,Miami,3,48000,Medium,Medium
191,Hyundai,Genesis,2020,Black,40000,18000,San Francisco,2,36000,Medium,Medium
192,Toyota,Avalon,2019,Silver,35000,20000,Dallas,1,20000,Medium,Medium
193,Honda,Civic,2015,Gray,55000,19000,Atlanta,3,57000,Medium,Medium
194,Ford,Fusion,2020,White,50000,23000,Phoenix,4,92000,Medium,Medium
195,Chevrolet,Impala,2016,Blue,40000,21000,Houston,1,21000,Medium,Medium
196,Hyundai,Sonata,2016,Red,35000,24000,Seattle,5,120000,Medium,Medium
197,Toyota,Corolla,2020,Silver,70000,20000,Los Angeles,1,20000,High,Medium
198,Honda,CR-V,2015,White,55000,22000,New York,5,110000,Medium,Medium
199,Ford,Escape,2019,Blue,50000,24000,Chicago,4,96000,Medium,Medium
200,Chevrolet,Equinox,2019,Black,45000,23000,Miami,5,115000,Medium,Medium
201,Hyundai,Tucson,2015,Red,40000,27000,San Francisco,1,27000,Medium,High
202,Toyota,Rav6,2016,Gray,35000,25000,Dallas,3,75000,Medium,High
203,Honda,Pilot,2016,White,70000,28000,Atlanta,3,84000,High,High
204,Ford,Explorer,2019,Blue,55000,22000,Phoenix,5,110000,Medium,Medium
205,Chevrolet,Traverse,2017,Black,50000,21000,Houston,5,105000,Medium,Medium
206,Hyundai,Santa Fe,2017,Red,45000,26000,Seattle,1,26000,Medium,High
207,Toyota,4Runner,2018,Silver,30000,29000,Los Angeles,1,29000,Medium,High
208,Honda,Odyssey,2015,White,35000,27000,New York,2,54000,Medium,High
209,Ford,Edge,2019,Blue,55000,12000,Chicago,2,24000,Medium,Low
210,Chevrolet,Tahoe,2018,Black,50000,15000,Miami,5,75000,Medium,Medium
211,Hyundai,Palisade,2016,Silver,40000,17000,San Francisco,5,85000,Medium,Medium
212,Toyota,Sienna,2018,Red,60000,14000,Dallas,4,56000,High,Low
213,Honda,Fit,2019,Gray,55000,12000,Atlanta,5,60000,Medium,Low
214,Ford,Fusion,2017,White,45000,18000,Phoenix,1,18000,Medium,Medium
215,Chevrolet,Malibu,2015,Blue,35000,16000,Houston,3,48000,Medium,Medium
216,Hyundai,Venue,2016,Silver,55000,14000,Seattle,2,28000,Medium,Low
217,Toyota,Yaris,2015,Black,60000,12000,Los Angeles,5,60000,High,Low
218,Toyota,Camry,2017,White,40000,15000,Los Angeles,1,15000,Medium,Medium
219,Honda,Civic,2015,Blue,25000,19000,New York,1,19000,Low,Medium
220,Toyota,Camry,2020,White,30000,18000,Los Angeles,2,36000,Medium,Medium
221,Honda,Civic,2019,Blue,65000,22000,New York,5,110000,High,Medium
222,Ford,Focus,2019,Silver,55000,16000,Chicago,4,64000,Medium,Medium
223,Chevrolet,Cruze,2018,Red,50000,14000,Miami,4,56000,Medium,Low
224,Hyundai,Elantra,2016,Black,55000,19000,San Francisco,3,57000,Medium,Medium
225,Toyota,Corolla,2018,Gray,30000,23000,Dallas,3,69000,Medium,Medium
226,Honda,Accord,2016,White,40000,21000,Atlanta,5,105000,Medium,Medium
227,Ford,Mustang,2015,Yellow,45000,18000,Phoenix,3,54000,Medium,Medium
228,Chevrolet,Impala,2018,Black,35000,20000,Houston,4,80000,Medium,Medium
229,Hyundai,Sonata,2015,Blue,60000,25000,Seattle,2,50000,High,High
230,Toyota,Rav7,2016,Gray,55000,24000,Los Angeles,4,96000,Medium,Medium
231,Honda,CR-V,2019,Red,50000,23000,New York,3,69000,Medium,Medium
232,Ford,Escape,2015,White,35000,28000,Chicago,3,84000,Medium,High
233,Chevrolet,Equinox,2020,Black,40000,25000,Miami,3,75000,Medium,High
234,Hyundai,Kona,2018,Blue,70000,27000,San Francisco,3,81000,High,High
235,Toyota,Highlander,2020,Silver,55000,22000,Dallas,4,88000,Medium,Medium
236,Honda,Pilot,2020,Gray,50000,21000,Atlanta,1,21000,Medium,Medium
237,Ford,Explorer,2019,White,45000,26000,Phoenix,5,130000,Medium,High
238,Chevrolet,Traverse,2018,Black,30000,29000,Houston,2,58000,Medium,High
239,Hyundai,Santa Fe,2016,Red,35000,27000,Seattle,4,108000,Medium,High
240,Toyota,4Runner,2018,Silver,55000,12000,Los Angeles,1,12000,Medium,Low
241,Honda,Odyssey,2017,White,50000,15000,New York,5,75000,Medium,Medium
242,Ford,Edge,2015,Blue,40000,17000,Chicago,1,17000,Medium,Medium
243,Chevrolet,Tahoe,2018,Black,60000,14000,Miami,3,42000,High,Low
244,Hyundai,Palisade,2015,Silver,55000,12000,San Francisco,5,60000,Medium,Low
245,Toyota,Sienna,2016,Red,50000,15000,Dallas,1,15000,Medium,Medium
246,Honda,Fit,2020,Gray,40000,17000,Atlanta,1,17000,Medium,Medium
247,Ford,Fusion,2019,White,35000,14000,Phoenix,2,28000,Medium,Low
248,Chevrolet,Malibu,2017,Blue,70000,12000,Houston,5,60000,High,Low
249,Hyundai,Venue,2019,Silver,55000,15000,Seattle,5,75000,Medium,Medium
250,Toyota,Yaris,2017,Black,50000,17000,Los Angeles,2,34000,Medium,Medium
251,Honda,HR-V,2020,White,40000,14000,New York,1,14000,Medium,Low
252,Ford,EcoSport,2017,Red,45000,16000,Chicago,1,16000,Medium,Medium
253,Chevrolet,Spark,2015,Blue,35000,18000,Miami,5,90000,Medium,Medium
254,Hyundai,Accent,2015,Silver,60000,19000,San Francisco,4,76000,High,Medium
255,Toyota,Prius,2017,Gray,50000,18000,Dallas,2,36000,Medium,Medium
256,Honda,Civic,2020,White,40000,22000,Atlanta,1,22000,Medium,Medium
257,Ford,Fiesta,2017,Blue,35000,25000,Phoenix,1,25000,Medium,High
258,Chevrolet,Cruze,2020,Black,70000,18000,Houston,4,72000,High,Medium
259,Hyundai,Elantra,2018,Red,55000,19000,Seattle,2,38000,Medium,Medium
260,Toyota,Camry,2015,Silver,50000,17000,Los Angeles,5,85000,Medium,Medium
261,Honda,Accord,2020,White,45000,16000,New York,2,32000,Medium,Medium
262,Ford,Mustang,2015,Blue,40000,18000,Chicago,2,36000,Medium,Medium
263,Chevrolet,Camaro,2016,Red,35000,20000,Miami,4,80000,Medium,Medium
264,Hyundai,Genesis,2020,Black,55000,19000,San Francisco,1,19000,Medium,Medium
265,Toyota,Avalon,2016,Silver,50000,23000,Dallas,3,69000,Medium,Medium
266,Honda,Civic,2019,Gray,40000,21000,Atlanta,1,21000,Medium,Medium
267,Ford,Fusion,2017,White,35000,24000,Phoenix,3,72000,Medium,Medium
268,Chevrolet,Impala,2019,Blue,70000,20000,Houston,2,40000,High,Medium
269,Hyundai,Sonata,2015,Red,55000,22000,Seattle,4,88000,Medium,Medium
270,Toyota,Corolla,2018,Silver,50000,24000,Los Angeles,3,72000,Medium,Medium
271,Honda,CR-V,2018,White,45000,23000,New York,2,46000,Medium,Medium
272,Ford,Escape,2019,Blue,40000,27000,Chicago,4,108000,Medium,High
273,Chevrolet,Equinox,2018,Black,35000,25000,Miami,5,125000,Medium,High
274,Hyundai,Tucson,2015,Red,70000,28000,San Francisco,3,84000,High,High
275,Toyota,Rav7,2019,Gray,55000,22000,Dallas,1,22000,Medium,Medium
276,Honda,Pilot,2019,White,50000,21000,Atlanta,2,42000,Medium,Medium
277,Ford,Explorer,2017,Blue,45000,26000,Phoenix,5,130000,Medium,High
278,Chevrolet,Traverse,2017,Black,30000,29000,Houston,5,145000,Medium,High
279,Hyundai,Santa Fe,2018,Red,35000,27000,Seattle,5,135000,Medium,High
280,Toyota,4Runner,2017,Silver,55000,12000,Los Angeles,3,36000,Medium,Low
281,Honda,Odyssey,2015,White,50000,15000,New York,1,15000,Medium,Medium
282,Ford,Edge,2020,Blue,40000,17000,Chicago,4,68000,Medium,Medium
283,Chevrolet,Tahoe,2019,Black,60000,14000,Miami,4,56000,High,Low
284,Hyundai,Palisade,2017,Silver,55000,12000,San Francisco,4,48000,Medium,Low
285,Toyota,Sienna,2016,Red,45000,18000,Dallas,1,18000,Medium,Medium
286,Honda,Fit,2017,Gray,35000,16000,Atlanta,3,48000,Medium,Medium
287,Ford,Fusion,2019,White,55000,14000,Phoenix,2,28000,Medium,Low
288,Chevrolet,Malibu,2020,Blue,60000,12000,Houston,1,12000,High,Low
289,Hyundai,Venue,2018,Silver,40000,15000,Seattle,3,45000,Medium,Medium
290,Toyota,Yaris,2019,Black,25000,19000,Los Angeles,1,19000,Low,Medium
291,Toyota,Camry,2018,White,30000,18000,Los Angeles,5,90000,Medium,Medium
292,Honda,Civic,2015,Blue,65000,22000,New York,2,44000,High,Medium
293,Toyota,Camry,2015,White,55000,16000,Los Angeles,3,48000,Medium,Medium
294,Honda,Civic,2019,Blue,50000,14000,New York,3,42000,Medium,Low
295,Ford,Focus,2016,Silver,55000,19000,Chicago,1,19000,Medium,Medium
296,Chevrolet,Cruze,2015,Red,30000,23000,Miami,5,115000,Medium,Medium
297,Hyundai,Elantra,2019,Black,40000,21000,San Francisco,4,84000,Medium,Medium
298,Toyota,Corolla,2016,Gray,45000,18000,Dallas,5,90000,Medium,Medium
299,Honda,Accord,2020,White,35000,20000,Atlanta,4,80000,Medium,Medium
300,Ford,Mustang,2019,Yellow,60000,25000,Phoenix,4,100000,High,High
301,Chevrolet,Impala,2017,Black,55000,24000,Houston,5,120000,Medium,Medium
302,Hyundai,Sonata,2019,Blue,50000,23000,Seattle,2,46000,Medium,Medium
303,Toyota,Rav8,2019,Gray,35000,28000,Los Angeles,5,140000,Medium,High
304,Honda,CR-V,2017,Red,40000,25000,New York,4,100000,Medium,High
305,Ford,Escape,2016,White,70000,27000,Chicago,4,108000,High,High
306,Chevrolet,Equinox,2016,Black,55000,22000,Miami,1,22000,Medium,Medium
307,Hyundai,Kona,2016,Blue,50000,21000,San Francisco,4,84000,Medium,Medium
308,Toyota,Highlander,2017,Silver,45000,26000,Dallas,5,130000,Medium,High
309,Honda,Pilot,2018,Gray,30000,29000,Atlanta,4,116000,Medium,High
310,Ford,Explorer,2016,White,35000,27000,Phoenix,3,81000,Medium,High
311,Chevrolet,Traverse,2018,Black,55000,12000,Houston,5,60000,Medium,Low
312,Hyundai,Santa Fe,2019,Red,50000,15000,Seattle,5,75000,Medium,Medium
313,Toyota,4Runner,2017,Silver,40000,17000,Los Angeles,1,17000,Medium,Medium
314,Honda,Odyssey,2016,White,60000,14000,New York,5,70000,High,Low
315,Ford,Edge,2020,Blue,55000,12000,Chicago,2,24000,Medium,Low
316,Chevrolet,Tahoe,2017,Black,50000,15000,Miami,3,45000,Medium,Medium
317,Hyundai,Palisade,2015,Silver,40000,17000,San Francisco,5,85000,Medium,Medium
318,Toyota,Sienna,2019,Red,35000,14000,Dallas,1,14000,Medium,Low
319,Honda,Fit,2020,Gray,70000,12000,Atlanta,1,12000,High,Low
320,Ford,Fusion,2020,White,55000,15000,Phoenix,2,30000,Medium,Medium
321,Chevrolet,Malibu,2019,Blue,50000,17000,Houston,5,85000,Medium,Medium
322,Hyundai,Venue,2018,Silver,40000,14000,Seattle,5,70000,Medium,Low
323,Toyota,Yaris,2019,Black,45000,16000,Los Angeles,2,32000,Medium,Medium
324,Honda,HR-V,2017,White,35000,18000,New York,3,54000,Medium,Medium
325,Ford,EcoSport,2020,Red,60000,19000,Chicago,3,57000,High,Medium
326,Chevrolet,Spark,2017,Blue,50000,18000,Miami,2,36000,Medium,Medium
327,Hyundai,Accent,2017,Silver,40000,22000,San Francisco,2,44000,Medium,Medium
328,Toyota,Prius,2016,Gray,35000,25000,Dallas,5,125000,Medium,High
329,Honda,Civic,2015,White,70000,18000,Atlanta,5,90000,High,Medium
330,Ford,Fiesta,2020,Blue,55000,19000,Phoenix,1,19000,Medium,Medium
331,Chevrolet,Cruze,2015,Black,50000,17000,Houston,5,85000,Medium,Medium
332,Hyundai,Elantra,2016,Red,45000,16000,Seattle,2,32000,Medium,Medium
333,Toyota,Camry,2018,Silver,40000,18000,Los Angeles,4,72000,Medium,Medium
334,Honda,Accord,2018,White,35000,20000,New York,2,40000,Medium,Medium
